Ref,Val,Package,PosX,PosY,Rot,Side
C1,0u1F,C_0603_1608Metric,22.775,-41.75,0,top
C2,16pF,C_0603_1608Metric,14,-34.5,0,top
C3,2u2F,C_0603_1608Metric,23,-21.75,0,top
C4,2u2F,C_0603_1608Metric,29.25,-42.5,-90,top
C5,0u1F,C_0603_1608Metric,15.5,-36.75,-90,top
C6,0u1F,C_0603_1608Metric,20,-20.25,180,top
C7,16pF,C_0603_1608Metric,13.25,-28.25,180,top
C8,1uF,C_0603_1608Metric,17,-36.75,-90,top
C9,4u7F,C_0603_1608Metric,20,-21.75,180,top
C10,0u1F,C_0603_1608Metric,14,-36.75,-90,top
C11,0u1F,C_0603_1608Metric,35.225,-19.25,0,top
C12,1uF,C_0603_1608Metric,12.5,-36.75,-90,top
C13,0u1F,C_0603_1608Metric,15.5,-27.5,90,top
C14,0u1F,C_0603_1608Metric,35.225,-20.75,0,top
C15,1uF,C_0603_1608Metric,35.225,-22.25,0,top
C16,0u1F,C_0603_1608Metric,16.975,-27.5,90,top
C17,0u1F,C_0603_1608Metric,30.75,-42.5,-90,top
C18,1uF,C_0603_1608Metric,2,-52.5,180,top
C19,16pF,C_0603_1608Metric,1,-58.7,-90,top
C20,16pF,C_0603_1608Metric,2.5,-58.7,-90,top
C21,470nF,C_0603_1608Metric,5.975,-58,0,top
C22,0u1F,C_0603_1608Metric,9.5,-58,0,top
C23,47nF,C_0603_1608Metric,2.75,-50.25,-90,top
C24,47pF,C_0603_1608Metric,1.25,-50.25,-90,top
C25,3pF,C_0603_1608Metric,4.25,-47.25,90,top
C26,5p6F,C_0603_1608Metric,5,-45,180,top
C27,1p8F,C_0603_1608Metric,10.5,-46.5,90,top
C28,39pF,C_0603_1608Metric,5.75,-42.725,90,top
C29,2p4F,C_0603_1608Metric,9,-46.5,90,top
C30,1p8F,C_0603_1608Metric,4.975,-37.5,180,top
C31,1nF,C_0603_1608Metric,15.225,-43,0,top
C32,1nF,C_0603_1608Metric,15.225,-41.5,0,top
C33,39pF,C_0603_1608Metric,6.5,-31.735,90,top
C34,3pF,C_0603_1608Metric,7.25,-29.485,0,top
C35,3pF,C_0603_1608Metric,7.25,-24.985,0,top
C36,10pF,C_0603_1608Metric,7.25,-23.485,0,top
C37,10pF,C_0603_1608Metric,7.25,-19.485,0,top
C38,1uF,C_0603_1608Metric,36.5,-66.75,-90,top
C39,16pF,C_0603_1608Metric,29.5,-76.25,180,top
C40,16pF,C_0603_1608Metric,27.75,-73.75,-90,top
C41,10pF,C_0603_1608Metric,31.25,-78.25,0,top
C42,10pF,C_0603_1608Metric,28,-78.25,180,top
C43,0u1F,C_0603_1608Metric,40.35,-66.75,90,top
C44,1uF,C_0603_1608Metric,41.85,-66.75,90,top
C45,0u1F,C_0603_1608Metric,38,-66.75,90,top
C46,0u1F,C_0603_1608Metric,41.325,-76,0,top
C47,10nF,C_0603_1608Metric,34.25,-72,90,top
C48,1uF,C_0603_1608Metric,32.75,-72,90,top
C49,4pF,C_0603_1608Metric,36.25,-76.5,180,top
C50,0u1F,C_0603_1608Metric,40.5375,-77.7,0,top
C51,4pF,C_0603_1608Metric,36.25,-81,180,top
C52,0u1F,C_0603_1608Metric,40.5375,-80.7,0,top
C53,1uF,C_0603_1608Metric,41.5,-82.95,-90,top
C54,10uF,C_0805_2012Metric,41.7875,-86.2,-90,top
C55,0u1F,C_0603_1608Metric,26.0193,-52.524999,180,top
C56,0u1F,C_0603_1608Metric,29.2693,-52.524999,0,top
C57,0u1F,C_0603_1608Metric,32.425,-50.025,-90,top
C58,0u1F,C_0603_1608Metric,34.675,-52.525,0,top
C59,1uF,C_0603_1608Metric,20.1,-73.85,90,top
C60,1uF,C_0603_1608Metric,20.1,-70.6,-90,top
C61,0u1F,C_0603_1608Metric,9.725,-94.25,180,top
C62,0u1F,C_0603_1608Metric,9.75,-97.25,180,top
C63,0u1F,C_0603_1608Metric,9.75,-95.75,180,top
C64,0u1F,C_0603_1608Metric,9.75,-98.75,180,top
C65,10uF,C_0805_2012Metric,17.75,-90.75,-90,top
C66,0u1F,C_0603_1608Metric,25.75,-90.5,-90,top
C67,0u1F,C_0603_1608Metric,-8.4995,-96.15,180,top
C68,4u7F,C_0603_1608Metric,-8.4995,-94.15,180,top
C69,1uF,C_0603_1608Metric,8.255,-72,-90,top
C70,10nF,C_0603_1608Metric,11.505,-78.5,0,top
C71,1uF,C_0603_1608Metric,8.255,-75.25,-90,top
D1,BLINK,LTST-C190KGKT,27,-56.5,90,top
D2,SESD0402X1BN,SESD0402X1BN,5.75,-10.5,0,top
D3,SESD0402X1BN,SESD0402X1BN,37.8375,-89.5,0,top
D4,CHGLED,LTST-C190KGKT,28.5,-56.5,90,top
D5,1N5819HW-7-F,SOD3715X145N,20,-91.43,-90,top
D6,PWRLED,LTST-C190KGKT,25.5,-56.5,90,top
J7,2-84953-0,2-84953-0,21.5,-60,0,top
J8,TYPE-C-31-M-12,HRO_TYPE-C-31-M-12,21.5,-101.1625,0,top
L1,15uH,L_0805_2012Metric,7,-59.75,0,top
L2,47nH,L_0603_1608Metric,5,-49.5,0,top
L3,2n7H,L_0603_1608Metric,5.75,-47.25,90,top
L4,15nH,L_0603_1608Metric,9.75,-48.75,180,top
L5,4n7H,L_0603_1608Metric,5.75,-39.75,90,top
L6,9n1H,L_0603_1608Metric,6.5,-27.235,90,top
L7,5n2H,L_0402_1005Metric,6.5,-21.485,90,top
L8,24nH,L_0603_1608Metric,33,-74.75,0,top
L9,2nH,L_0603_1608Metric,37,-78.75,-90,top
L10,2nH,L_0603_1608Metric,40.5375,-79.2,180,top
Q1,DMG1012T,DMG1012T-7,19.75,-7.4,90,top
Q2,DMG1012T,DMG1012T-7,13.075,-55.65,90,top
R1,4k7,R_0603_1608Metric,35.25,-40.1,0,top
R2,4k7,R_0603_1608Metric,35.25,-43.25,0,top
R3,4k7,R_0603_1608Metric,35.25,-41.7,0,top
R4,1k,R_0603_1608Metric,28.1,-21,-90,top
R5,4k7,R_0603_1608Metric,35.25,-44.75,0,top
R6,10k,R_0603_1608Metric,17.6,-79.575,-90,top
R7,10k,R_0603_1608Metric,19.1,-79.575,90,top
R8,100R,R_0603_1608Metric,27.7,-42.5,90,top
R9,100R,R_0603_1608Metric,26.2,-42.5,90,top
R10,10k,R_0603_1608Metric,14.4,-79.575,90,top
R11,10k,R_0603_1608Metric,16,-79.575,90,top
R12,10k,R_0603_1608Metric,31.25,-70.575,90,top
R13,499R,R_0603_1608Metric,30.3,-21,-90,top
R14,1k,R_0603_1608Metric,21.75,-77.4,90,top
R15,10k,R_0603_1608Metric,23.5,-77.4,90,top
R16,NTC10k,R_0603_1608Metric,26.5,-69.75,180,top
R17,1k,R_0603_1608Metric,26.5,-71.25,0,top
R18,10k,R_0603_1608Metric,20,-10,0,top
R19,10k,R_0603_1608Metric,14,-57.75,0,top
R20,10k,R_0603_1608Metric,15,-22.75,0,top
R21,2k,R_0603_1608Metric,15,-21.25,180,top
R22,5k,R_0603_1608Metric,15,-19.75,0,top
R23,5k1,R_0603_1608Metric,17.25,-94.5,0,top
R24,5k1,R_0603_1608Metric,25.5,-94.3,180,top
R25,10k,R_0603_1608Metric,-8.4995,-86.55,0,top
R26,10k,R_0603_1608Metric,-8.4995,-84.55,0,top
R27,1k,R_0603_1608Metric,23.75,-56.5,90,top
R32,68R,R_0603_1608Metric,21.3,-57.5,0,top
SW1,PTS810_SJM_250_SMTR_LFS,SW_PTS810_SJM_250_SMTR_LFS,13.675,-91.175,-90,top
SW2,PTS810_SJM_250_SMTR_LFS,SW_PTS810_SJM_250_SMTR_LFS,29.175,-91.175,-90,top
SW3,PTS810_SJM_250_SMTR_LFS,SW_PTS810_SJM_250_SMTR_LFS,13.675,-97,-90,top
SW4,PTS810_SJM_250_SMTR_LFS,SW_PTS810_SJM_250_SMTR_LFS,29.175,-97,-90,top
U1,STM32H563VIT6,STM32H563VIT6,27,-31.75,0,top
U2,SX1262IMLTRT,SX1262,7.2839,-54.2161,0,top
U3,PE4259,SOT-363_SC-70-6,6.5,-34.95,90,top
U4,ESP32-C6,ESP32-C6,38.85,-72.055,90,top
U5,BMI323,BMI323,27.7693,-50.024999,0,top
U6,BME280,Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering,34.75,-50,0,top
U7,BQ24090DGQR,IC_XTR111AIDGQR,22.85,-72.2,90,top
U8,W25Q32JVSSIQ,W25Q32JVSSIQ,39.5,-58,-90,top
U9,USBLC6-2SC6,SOT-23-6,23,-91,90,top
U10,VL53L4CXV0DH_1,VL53L4CXV0DH_1,-8.5995,-90.35,-90,top
U11,TPS79533DCQR,TPS79533DCQR,13.755,-73.75,0,top
XTAL2,SC32S-7PF20PPM,SC32S-7PF20PPM,29,-80.25,180,top
Y1,ECS-320-10-36B-7KM-TR,ECS-320-10-36B-CKM-TR,2.4,-55.7,0,top
Y2,ECS-400-10-37B2-CKY-TR,ECS-400-10-37B2-CKY-TR,29.75,-74,90,top
Y3,ECS-80-18-23B-JTN-TR,ECS-80-18-23B-JTN-TR,14.25,-31.5,0,top
